48001,洞天,dong4/tian1
48002,洞天福地,dong4/tian1/fu2/de
48004,洞箫,dong4/xiao1
48005,洞晓,dong4/xiao3
48007,洞子,dong4/zi
48008,胴体,dong4/ti3
48009,都,dou1
48010,兜,dou1
48011,兜捕,dou1/bu3
48012,兜底,dou1/di3
48013,兜兜,dou1/dou1
48014,兜肚,dou1/du4
48017,兜卖,dou1/mai4
48019,兜生意,dou1/sheng1/yi4
48022,兜子,dou1/zi
48023,斗,dou4
48024,斗车,dou4/che1
48026,斗富,dou4/fu4
48027,斗拱,dou4/gong3
48028,斗箕,dou4/ji1
48029,斗笠,dou4/li4
48030,斗篷,dou4/peng2
48032,斗艳,dou4/yan4
48033,斗转星移,dou4/zhuan3/xing1/yi2
48034,斗子,dou4/zi
48035,抖,dou3
48036,抖包袱,dou3/bao1/fu2
48037,抖颤,dou3/chan4
48039,抖搂,dou3/lou3
48040,抖落,dou3/luo4
48042,抖威风,dou3/wei1/feng1
48044,陡,dou3
48046,陡变,dou3/bian4
48047,陡峻,dou3/jun4
48048,陡立,dou3/li4
48051,陡增,dou3/zeng1
48054,斗法,dou4/fa3
48055,斗鸡,dou4/ji1
48056,斗牛,dou4/niu2
48057,斗牛士,dou4/niu2/shi4
48059,斗气,dou4/qi4
48060,斗士,dou4/shi4
48061,斗心眼儿,dou4/xin1/yan3/er2
48065,斗嘴,dou4/zui3
48067,豆酱,dou4/jiang4
48068,豆青,dou4/qing1
48069,豆,dou4
48070,豆瓣儿,dou4/ban4/er2
48071,豆包,dou4/bao1
48072,豆饼,dou4/bing3
48073,豆豉,dou4/shi4
48074,豆粉,dou4/fen3
48077,豆腐渣,dou4/fu3/zha1
48078,豆腐渣工程,dou4/fu3/zha1/gong1/cheng2
48079,豆腐干,dou4/fu3/gan4
48080,豆腐脑儿,dou4/fu3/nao3/er2
48081,豆花儿,dou4/hua1/er2
48082,豆荚,dou4/jia2
48084,豆角儿,dou4/jiao3/er2
48085,豆秸,dou4/jie1
48089,豆绿,dou4/lv4
48090,豆面,dou4/mian4
48092,豆奶,dou4/nai3
48093,豆乳,dou4/ru3
48095,豆芽菜,dou4/ya2/cai4
48098,豆汁,dou4/zhi1
48101,逗,dou4
48104,逗乐,dou4/le4
48106,逗弄,dou4/nong4
48107,逗趣儿,dou4/qu4/er2
48108,逗人,dou4/ren2
48109,逗笑,dou4/xiao4
48110,逗引,dou4/yin3
48111,痘,dou4
48115,嘟,du1
48116,嘟噜,du1/lu1
48119,督察,du1/cha2
48122,督学,du1/xue2
48123,督战,du1/zhan4
48124,督阵,du1/zhen4
48125,毒,du2
48127,毒虫,du2/chong2
48128,毒刺,du2/ci4
48130,毒饵,du2/er3
48131,毒犯,du2/fan4
48132,毒贩,du2/fan4
48135,毒计,du2/ji4
48137,毒箭,du2/jian4
48138,毒菌,du2/jun1
48140,毒瘤,du2/liu2
48143,毒气弹,du2/qi4/dan4
48144,毒杀,du2/sha1
48149,毒腺,du2/xian4
48153,毒牙,du2/ya2
48154,毒焰,du2/yan4
48156,毒液,du2/ye4
48157,毒瘾,du2/yin3
48160,读,du2
48163,读秒,du2/miao3
48165,读书人,du2/shu1/ren2
48170,犊,du2
48171,犊子,du2/zi
48172,黩武,du2/wu3
48173,髑髅,du2/lou2
48176,独具慧眼,du2/ju4/hui4/yan3
48177,独,du2
48179,独步,du2/bu4
48184,独处,du2/chu4
48189,独断,du2/duan4
48190,独断专行,du2/duan4/zhuan1/xing2
48191,独夫,du2/fu1
48192,独个儿,du2/ge4/er2
48194,独角戏,du2/jiao3/xi4
48195,独居,du2/ju1
48198,独具只眼,du2/ju4/zhi3/yan3
48200,独力,du2/li4
48206,独龙族,du2/long2/zu2
48207,独轮车,du2/lun2/che1
48208,独门,du2/men2
48209,独门独院,du2/men2/du2/yuan4
48210,独苗,du2/miao2
48211,独幕剧,du2/mu4/ju4
48212,独木难支,du2/mu4/nan2/zhi1
48213,独木桥,du2/mu4/qiao2
48214,独木舟,du2/mu4/zhou1
48215,独女,du2/nv3
48217,独善其身,du2/shan4/qi2/shen1
48218,独身,du2/shen1
48219,独生,du2/sheng1
48221,独生子,du2/sheng1/zi
48225,独吞,du2/tun1
48226,独舞,du2/wu3
48227,独享,du2/xiang3
48228,独行,du2/xing2
48229,独眼龙,du2/yan3/long2
48232,独院,du2/yuan4
48235,独酌,du2/zhuo2
48237,独子,du2/zi
48239,独奏,du2/zou4
48240,独奏曲,du2/zou4/qu1
48241,笃爱,du3/ai4
48242,笃诚,du3/cheng2
48243,笃厚,du3/hou4
48244,笃深,du3/shen1
48245,笃实,du3/shi2
48246,笃守,du3/shou3
48247,笃信,du3/xin4
48248,笃志,du3/zhi4
48249,堵,du3
48250,堵车,du3/che1
48253,堵心,du3/xin1
48255,赌,du3
48256,赌本,du3/ben3
48259,赌鬼,du3/gui3
48260,赌棍,du3/gun4
48261,赌局,du3/ju2
48262,赌具,du3/ju4
48264,赌钱,du3/qian2
48265,赌球,du3/qiu2
48266,赌窝,du3/wo1
48267,赌瘾,du3/yin3
48268,赌债,du3/zhai4
48270,赌资,du3/zi1
48271,睹,du3
48272,睹物伤情,du3/wu4/shang1/qing2
48273,睹物思人,du3/wu4/si1/ren2
48274,睹咒,du3/zhou4
48275,肚,du4
48277,妒火,du4/huo3
48279,杜,du4
48281,杜鹃花,du4/juan1/hua1
48283,杜康,du4/kang1
48285,肚带,du4/dai4
48287,肚兜,du4/dou1
48288,肚量,du4/liang4
48290,肚脐,du4/qi2
48291,肚脐眼儿,du4/qi2/yan3/er2
48293,度荒,du4/huang1
48294,度,du4
48297,度假村,du4/jia3/cun1
48299,度量衡,du4/liang4/heng2
48301,度日如年,du4/ri4/ru2/nian2
48303,度汛,du4/xun4
48304,渡,du4
48305,渡槽,du4/cao2
48309,渡桥,du4/qiao2
48310,镀,du4
48311,镀层,du4/ceng2
48312,镀铬,du4/ge4
48315,蠹,du4
48316,蠹虫,du4/chong2
48317,端,duan1
48318,端架子,duan1/jia4/zi
48319,端口,duan1/kou3
48320,端丽,duan1/li4
48321,端量,duan1/liang4
48324,端午节,duan1/wu3/jie2
48325,端线,duan1/xian4
48328,端砚,duan1/yan4
48330,端阳节,duan1/yang2/jie2
48332,端重,duan1/zhong4
48334,端坐,duan1/zuo4
48335,短少,duan3/shao3
48336,短训,duan3/xun4
48337,短,duan3
48340,短不了,duan3/bu4/le
48341,短长,duan3/zhang3
48343,短秤,duan3/cheng4
48345,短粗,duan3/cu1
48347,短打,duan3/da3
48348,短笛,duan3/di2
48351,短见,duan3/jian4
48352,短句,duan3/ju4
48353,短剧,duan3/ju4
48354,短裤,duan3/ku4
48356,短命,duan3/ming4
48359,短片,duan3/pian4
48361,短平快,duan3/ping2/kuai4
48364,短枪,duan3/qiang1
48366,短裙,duan3/qun2
48367,短视,duan3/shi4
48368,短寿,duan3/shou4
48370,短袜,duan3/wa4
48374,短信,duan3/xin4
48375,短袖,duan3/xiu4
48379,短装,duan3/zhuang1
48380,段,duan4
48381,段长,duan4/zhang3
48383,段位,duan4/wei4
48384,段子,duan4/zi
48385,断,duan4
48386,断魂,duan4/hun2
48387,断喝,duan4/he1
48388,断后,duan4/hou4
48389,断断,duan4/duan4
48391,断乎,duan4/hu1
48392,断口,duan4/kou3
48393,断粮,duan4/liang2
48395,断句,duan4/ju4
48397,断案,duan4/an4
48398,断壁残垣,duan4/bi4/can2/yuan2
48400,断肠,duan4/chang2
48401,断炊,duan4/chui1
48402,断代,duan4/dai4
48403,断代史,duan4/dai4/shi3
48404,断档,duan4/dang4
48407,断顿,duan4/dun4
48408,断根,duan4/gen1
48409,断航,duan4/hang2
48410,断裂带,duan4/lie4/dai4
48412,断垄,duan4/long3
48413,断路,duan4/lu4
48415,断命,duan4/ming4
48416,断奶,duan4/nai3
48417,断片,duan4/pian4
48421,断头台,duan4/tou2/tai2
48422,断线,duan4/xian4
48423,断想,duan4/xiang3
48424,断续,duan4/xu4
48425,断崖,duan4/ya2
48427,断语,duan4/yu3
48428,断狱,duan4/yu4
48429,断垣残壁,duan4/yuan2/can2/bi4
48431,断肢,duan4/zhi1
48432,断指,duan4/zhi3
48433,断种,duan4/zhong3
48434,断子绝孙,duan4/zi/jue2/sun1
48436,椴树,duan4/shu4
48437,煅,duan4
48439,锻,duan4
48440,锻工,duan4/gong1
48444,锻制,duan4/zhi4
48445,堆,dui1
48446,堆叠,dui1/die2
48448,堆肥,dui1/fei2
48450,堆集,dui1/ji2
48451,堆砌,dui1/qi4
48452,堆笑,dui1/xiao4
48454,队,dui4
48457,队礼,dui4/li3
48460,队日,dui4/ri4
48465,对家,dui4/jia1
48466,对,dui4
48467,对讲机,dui4/jiang3/ji1
48469,对焦,dui4/jiao1
48472,对号,dui4/hao4
48475,对襟,dui4/jin1
48476,对劲,dui4/jin4
48477,对局,dui4/ju2
48478,对举,dui4/ju3
48480,对白,dui4/bai2
48482,对本,dui4/ben3
48485,对比色,dui4/bi3/se4
48486,对簿公堂,dui4/bu4/gong1/tang2
48489,对唱,dui4/chang4
48491,对词,dui4/ci2
48492,对答,dui4/da2
48493,对答如流,dui4/da2/ru2/liu2
48494,对打,dui4/da3
48496,对得住,dui4/de2/zhu4
48498,对敌,dui4/di2
48502,对歌,dui4/ge1
48503,对攻,dui4/gong1
48505,对过,dui4/guo4
48508,对换,dui4/huan4
48509,对火,dui4/huo3
48510,对决,dui4/jue2
48513,对抗赛,dui4/kang4/sai4
48516,对口相声,dui4/kou3/xiang1/sheng1
48528,对视,dui4/shi4
48531,对台戏,dui4/tai2/xi4
48535,对味儿,dui4/wei4/er2
48536,对胃口,dui4/wei4/kou3
48539,对心,dui4/xin1
48540,对眼,dui4/yan3
48541,对译,dui4/yi4
48542,对弈,dui4/yi4
48543,对饮,dui4/yin3
48546,对仗,dui4/zhang4
48548,对折,dui4/zhe2
48549,对着干,dui4/zhe/gan4
48550,对阵,dui4/zhen4
48552,对症,dui4/zheng4
48557,对酌,dui4/zhuo2
48558,对子,dui4/zi
48559,兑,dui4
48562,兑奖,dui4/jiang3
48563,兑取,dui4/qu3
48565,碓,dui4
48566,吨,dun1
48567,吨公里,dun1/gong1/li3
48570,敦厚,dun1/hou4
48571,敦睦,dun1/mu4
48572,敦请,dun1/qing3
48574,墩布,dun1/bu4
48575,墩,dun1
48576,墩子,dun1/zi
48577,礅,dun1
48578,蹲,dun1
48580,蹲伏,dun1/fu2
48581,蹲坑,dun1/keng1
48582,蹲守,dun1/shou3
48583,盹儿,dun3/er2
48584,趸船,dun3/chuan2
48585,趸,dun3
48586,囤,dun4
48587,炖,dun4
48588,盾,dun4
48590,砘,dun4
48592,钝,dun4
48594,钝器,dun4/qi4
48595,顿觉,dun4/jue2
48599,顿首,dun4/shou3
48600,顿悟,dun4/wu4
48601,顿足,dun4/zu2
48602,顿,dun4
48604,遁世,dun4/shi4
48605,遁词,dun4/ci2
48607,遁形,dun4/xing2
48611,多,duo1
48619,多层,duo1/ceng2
48620,多吃多占,duo1/chi1/duo1/zhan4
48621,多愁善感,duo1/chou2/shan4/gan3
48622,多舛,duo1/chuan3
48625,多党制,duo1/dang3/zhi4
48626,多动症,duo1/dong4/zheng4
48632,多发性,duo1/fa1/xing4
48637,多会儿,duo1/hui4/er2
48638,多极,duo1/ji2
48643,多虑,duo1/lv4
48647,多面体,duo1/mian4/ti3
48649,多幕剧,duo1/mu4/ju4
