1081	恍	huang3/guang1
1082	谎	huang3
1083	灰	hui1
1084	挥	hui1
1085	辉	hui1
1086	徽	hui1
1087	恢	hui1
1088	蛔	hui2
1089	回	hui2
1090	毁	hui3/hui4
1091	悔	hui3
1092	慧	hui4
1093	卉	hui4
1094	惠	hui4
1095	晦	hui4
1096	贿	hui4
1097	秽	hui4
1098	会	hui4/kuai4
1099	烩	hui4
1100	汇	hui4
1101	讳	hui4
1102	诲	hui4
1103	绘	hui4
1104	荤	hun1/xun1
1105	昏	hun1/hun4
1106	婚	hun1
1107	魂	hun2
1108	浑	hun2
1109	混	hun4/gun3/hun2/kun1
1110	豁	huo1/huo4/hua2
1111	活	huo2/guo1
1112	伙	huo3/huo
1113	火	huo3/huo1
1114	获	huo4
1115	或	huo4/yu4
1116	惑	huo4
1117	霍	huo4/he4/suo3
1118	货	huo4
1119	祸	huo4
1120	击	ji1
1121	圾	ji1/ji2/jie2
1122	基	ji1
1123	机	ji1/wei4
1124	畸	ji1/qi2
1125	稽	ji1/qi3
1126	积	ji1/zhi3
1127	箕	ji1
1128	肌	ji1/ji4
1129	饥	ji1
1130	迹	ji1
1131	激	ji1/jiao4/jiao1
1132	讥	ji1
1133	鸡	ji1
1134	姬	ji1/yi2
1135	绩	ji1
1136	缉	ji1/qi1
1137	吉	ji2
1138	极	ji2
1139	棘	ji2
1140	辑	ji2
1141	籍	ji2/jie4
1142	集	ji2
1143	及	ji2
1144	急	ji2
1145	疾	ji2
1146	汲	ji2/ji1
1147	即	ji2
1148	嫉	ji2
1149	级	ji2
1150	挤	ji3
1151	几	ji3/ji1
1152	脊	ji2/ji3
1153	己	ji3/qi3
1154	蓟	ji4
1155	技	ji4/qi2
1156	冀	ji4
1157	季	ji4
1158	伎	ji4/zhi4/qi2/qi4
1159	祭	ji4/zhai4
1160	剂	ji4
1161	悸	ji4
1162	济	ji4/ji3
1163	寄	ji4
1164	寂	ji4
1165	计	ji4
1166	记	ji4
1167	既	ji4/xi4
1168	忌	ji4
1169	际	ji4
1170	继	ji4
1171	纪	ji4/ji3
1172	嘉	jia1
1173	枷	jia1/jia4
1174	夹	jia1/ga1/jia2
1175	佳	jia1
1176	家	jia1/jia4/jia/jie/gu1
1177	加	jia1
1178	荚	jia2
1179	颊	jia2
1180	贾	jia3/gu3
1181	甲	jia3
1182	钾	jia3
1183	假	jia3/jia4/jie/xia4/xia2/ge2
1184	稼	jia4
1185	价	jia4/jie4/jie
1186	架	jia4
1187	驾	jia4
1188	嫁	jia4
1189	歼	jian1
1190	监	jian1/jian4
1191	坚	jian1
1192	尖	jian1
1193	笺	jian1
1194	间	jian1/jian4
1195	煎	jian1/jian4/jian3
1196	兼	jian1
1197	肩	jian1/xian2
1198	艰	jian1
1199	缄	jian1
1200	茧	jian3/chong2
1201	检	jian3
1202	柬	jian3
1203	碱	jian3/xian2
1204	硷	jian3
1205	拣	jian3
1206	捡	jian3
1207	简	jian3
